"filename", "language", "JavaScript", "YAML", "Ignore", "JSON with Comments", "JSON", "TypeScript", "HTML", "Markdown", "Vue", "SVG", "CSS", "SCSS", "comment", "blank", "total"
"e:\MyDrive\my-drive\src\renderer\src\assets\css\theme.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -66, 0, -19, -9, -94
"e:\MyDrive\my-drive\src\renderer\src\assets\css\transition.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -2, -10
"e:\MyDrive\my-drive\src\renderer\src\assets\icons.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, -34, 0, 0, 0, -1, -35
"e:\MyDrive\my-drive\src\renderer\src\components\Versions.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, -3, -15
"e:\MyDrive\my-drive\src\renderer\src\components\card\card.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -43, 0, 0, 0, 0, -3, -46
"e:\MyDrive\my-drive\src\renderer\src\components\menu\left-menu.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -63, 0, 0, 0, 0, -7, -70
"e:\MyDrive\my-drive\src\renderer\src\components\menu\menu-item.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -69, 0, 0, 0, 0, -6, -75
"e:\MyDrive\my-drive\src\renderer\src\components\menu\menu.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, 0, 0, -3, -17
"e:\MyDrive\my-drive\src\renderer\src\components\pagination\pagination-1.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -139, 0, 0, 0, 0, -16, -155
"e:\MyDrive\my-drive\src\renderer\src\components\progress\circle-progress.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, 0, 0, -3, -31
"e:\MyDrive\my-drive\src\renderer\src\composables\common\drag.ts", "TypeScript", 0, 0, 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, 0, -4, -32
"e:\MyDrive\my-drive\src\renderer\src\composables\common\navigate-to-view.ts", "TypeScript", 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, -2, -9
"e:\MyDrive\my-drive\src\renderer\src\composables\event-listener.ts", "TypeScript", 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, -3, -13
"e:\MyDrive\my-drive\src\renderer\src\composables\menu\index.ts", "TypeScript", 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, 0, -5, -28
"e:\MyDrive\my-drive\src\renderer\src\composables\mouse.ts", "TypeScript", 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, -3, -16
