"filename", "language", "Ignore", "JSON", "YAML", "JavaScript", "JSON with Comments", "Markdown", "TypeScript", "HTML", "Vue", "SVG", "CSS", "SCSS", "comment", "blank", "total"
"e:\MyDrive\my-drive\src\renderer\src\typings\vue-router.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"e:\MyDrive\my-drive\src\renderer\src\utils\img\img.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"e:\MyDrive\my-drive\src\renderer\src\utils\img\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 6, 23
"e:\MyDrive\my-drive\src\renderer\src\utils\os\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 3, 21
"e:\MyDrive\my-drive\src\renderer\src\utils\size\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 2, 17
"e:\MyDrive\my-drive\src\renderer\src\utils\store\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 3, 14
"e:\MyDrive\my-drive\src\renderer\src\utils\time\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 5, 5, 39
"e:\MyDrive\my-drive\src\renderer\src\views\firewall\firewall.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"e:\MyDrive\my-drive\src\renderer\src\views\home\components\header.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 14, 113
"e:\MyDrive\my-drive\src\renderer\src\views\home\home.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 5, 63
"e:\MyDrive\my-drive\src\renderer\src\views\index\components\network-chart.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 242, 16, 448
"e:\MyDrive\my-drive\src\renderer\src\views\index\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 202, 0, 0, 0, 244, 16, 462
"e:\MyDrive\my-drive\src\renderer\src\views\log\components\mysql-log.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 11, 107
"e:\MyDrive\my-drive\src\renderer\src\views\log\components\nginx-log.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 11, 167
"e:\MyDrive\my-drive\src\renderer\src\views\log\components\redis-log.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"e:\MyDrive\my-drive\src\renderer\src\views\log\log.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 1, 5, 53
"e:\MyDrive\my-drive\src\renderer\src\views\setting\components\common.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 6, 73
"e:\MyDrive\my-drive\src\renderer\src\views\setting\components\personal.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 7, 94
"e:\MyDrive\my-drive\src\renderer\src\views\setting\setting.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 11, 69
"e:\MyDrive\my-drive\src\renderer\src\views\terminal\components\terminal-item.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 9, 150
"e:\MyDrive\my-drive\src\renderer\src\views\terminal\terminal.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 1, 18, 191
"e:\MyDrive\my-drive\src\renderer\src\views\test\test.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 174, 7, 189
"e:\MyDrive\my-drive\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"e:\MyDrive\my-drive\tsconfig.node.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 1, 41
"e:\MyDrive\my-drive\tsconfig.web.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 1, 50
"Total", "-", 6, 299, 4171, 39, 11, 22, 1163, 15, 1794, 34, 93, 102, 985, 1133, 9867
